x y rho u v p
1.000000 0.000000 1.304105 0.838448 0.000152 5.680108
0.993927 -0.000864 1.315094 0.840635 0.062289 5.738792
0.987105 -0.001815 1.327709 0.842823 0.053071 5.815096
0.979548 -0.002865 1.330524 0.842993 0.050908 5.832072
0.971138 -0.004022 1.333358 0.843354 0.048770 5.849092
0.961878 -0.005282 1.335874 0.843678 0.046878 5.864192
0.956863 -0.005959 1.337708 0.843912 0.045501 5.875192
0.951587 -0.006666 1.339191 0.844094 0.044388 5.884089
0.946069 -0.007401 1.340672 0.844279 0.043280 5.892963
0.940285 -0.008167 1.342152 0.844464 0.042173 5.901837
0.934214 -0.008964 1.343632 0.844647 0.041068 5.910705
0.927833 -0.009796 1.345111 0.844830 0.039965 5.919565
0.921143 -0.010662 1.346584 0.845011 0.038869 5.928384
0.914163 -0.011557 1.348046 0.845190 0.037782 5.937137
0.906870 -0.012485 1.349489 0.845366 0.036711 5.945771
0.899241 -0.013448 1.350852 0.845533 0.035701 5.953922
0.891252 -0.014446 1.352095 0.845688 0.034781 5.961346
0.882937 -0.015476 1.353285 0.845837 0.033901 5.968446
0.874285 -0.016536 1.354476 0.845986 0.033022 5.975553
0.865265 -0.017630 1.355667 0.846134 0.032144 5.982657
0.855861 -0.018759 1.356854 0.846280 0.031269 5.989742
0.846118 -0.019915 1.358036 0.846425 0.030399 5.996796
0.836006 -0.021101 1.359213 0.846568 0.029534 6.003815
0.825493 -0.022320 1.360383 0.846709 0.028674 6.010795
0.814632 -0.023562 1.361542 0.846847 0.027824 6.017715
0.803397 -0.024831 1.362646 0.846979 0.027014 6.024299
0.791767 -0.026127 1.363641 0.847101 0.026286 6.030221
0.779797 -0.027441 1.364559 0.847216 0.025615 6.035679
0.767440 -0.028778 1.365463 0.847329 0.024955 6.041051
0.754737 -0.030130 1.366372 0.847442 0.024291 6.046454
0.741687 -0.031497 1.367285 0.847553 0.023625 6.051888
0.728282 -0.032878 1.368203 0.847665 0.022955 6.057352
0.714568 -0.034265 1.369126 0.847775 0.022283 6.062844
0.700516 -0.035659 1.370008 0.847881 0.021641 6.068092
0.686185 -0.037052 1.370811 0.847981 0.021057 6.072856
0.671550 -0.038445 1.371583 0.848078 0.020497 6.077433
0.656669 -0.039829 1.372372 0.848175 0.019923 6.082117
0.641525 -0.041204 1.373183 0.848273 0.019335 6.086933
0.626172 -0.042562 1.374016 0.848372 0.018730 6.091887
0.610605 -0.043901 1.374864 0.848471 0.018115 6.096935
0.594873 -0.045215 1.375703 0.848568 0.017507 6.101927
0.578982 -0.046499 1.376530 0.848663 0.016908 6.106847
0.562971 -0.047749 1.377377 0.848759 0.016294 6.111891
0.546862 -0.048959 1.378265 0.848855 0.015652 6.117188
0.530684 -0.050124 1.379196 0.848952 0.014978 6.122754
0.514467 -0.051241 1.380171 0.849049 0.014272 6.128600
0.498239 -0.052303 1.381187 0.849146 0.013537 6.134697
0.482028 -0.053306 1.382241 0.849241 0.012774 6.141035
0.465866 -0.054246 1.383345 0.849335 0.011976 6.147688
0.449777 -0.055119 1.384508 0.849428 0.011136 6.154714
0.433796 -0.055920 1.385732 0.849517 0.010252 6.162133
0.417940 -0.056647 1.387020 0.849603 0.009322 6.169957
0.402249 -0.057296 1.388365 0.849685 0.008353 6.178148
0.386733 -0.057864 1.389762 0.849760 0.007346 6.186683
0.371432 -0.058349 1.391226 0.849828 0.006292 6.195651
0.356354 -0.058750 1.392770 0.849888 0.005181 6.205148
0.341537 -0.059064 1.394399 0.849939 0.004011 6.215195
0.326980 -0.059292 1.396114 0.849978 0.002781 6.225812
0.312727 -0.059432 1.397917 0.850004 0.001490 6.237012
0.298764 -0.059485 1.399808 0.850015 0.000136 6.248809
0.285143 -0.059452 1.401794 0.850009 -0.001295 6.261238
0.271835 -0.059334 1.403876 0.849983 -0.002819 6.274324
0.258889 -0.059132 1.406057 0.849934 -0.004441 6.288091
0.246293 -0.058848 1.408337 0.849859 -0.006166 6.302548
0.234050 -0.058484 1.410716 0.849754 -0.007995 6.317700
0.222200 -0.058045 1.413197 0.849616 -0.009934 6.333574
0.210706 -0.057530 1.415777 0.849440 -0.011983 6.350169
0.199585 -0.056945 1.418435 0.849224 -0.014129 6.367360
0.188865 -0.056294 1.421143 0.848964 -0.016353 6.384978
