# x y rho rho*u rho*v rho*E
           1            0      1.37866     0.734236 -5.56678e-05       6.1848
    0.993927 -0.000863588      1.37241     0.745045    0.0944989      6.12159
    0.987105  -0.00181476      1.36183     0.766053     0.105606      6.03753
    0.979548  -0.00286486      1.35008     0.784086     0.108256      5.95612
    0.971138  -0.00402188      1.33685     0.798898     0.109364      5.87024
    0.961878  -0.00528228      1.32488     0.811035     0.109972      5.79447
    0.956863  -0.00595893      1.31467     0.820904     0.110463      5.73073
    0.951587  -0.00666624      1.30586     0.829154     0.110876      5.67625
    0.946069  -0.00740135      1.29866     0.836057     0.111073        5.632
    0.940285  -0.00816656      1.29286     0.841793     0.111049      5.59644
    0.934214  -0.00896414       1.2883     0.846561     0.110835      5.56852
    0.927833  -0.00979614      1.28488     0.850509     0.110466       5.5476
    0.921143   -0.0106617      1.28249     0.853749      0.10997      5.53301
    0.914163   -0.0115575      1.28101     0.856385     0.109365      5.52389
     0.90687   -0.0124855      1.28028     0.858528     0.108667       5.5193
    0.899241   -0.0134478      1.28014     0.860288     0.107892       5.5183
    0.891252   -0.0144463      1.28044     0.861774     0.107052      5.51997
    0.882937   -0.0154758      1.28107     0.863084     0.106156      5.52363
    0.874285   -0.0165362      1.28195     0.864287     0.105211      5.52881
    0.865265   -0.0176304      1.28302     0.865434     0.104228      5.53516
    0.855861   -0.0187589      1.28424     0.866566     0.103211      5.54236
    0.846118   -0.0199151      1.28555     0.867717     0.102162      5.55018
    0.836006   -0.0211013      1.28694     0.868913     0.101082      5.55843
    0.825493   -0.0223196      1.28837     0.870179    0.0999721      5.56695
    0.814632   -0.0235623      1.28983     0.871535    0.0988325      5.57563
    0.803397    -0.024831      1.29129     0.872992    0.0976641       5.5844
    0.791767   -0.0261265      1.29278      0.87456    0.0964626       5.5933
    0.779797   -0.0274409       1.2943     0.876245    0.0952268      5.60236
     0.76744   -0.0287775      1.29585     0.878042    0.0939563      5.61165
    0.754737   -0.0301304      1.29745     0.879947    0.0926443      5.62123
    0.741687   -0.0314974      1.29909     0.881947    0.0912862      5.63114
    0.728282   -0.0328778      1.30081     0.884028    0.0898768      5.64143
    0.714568   -0.0342646      1.30259      0.88617    0.0884095      5.65218
    0.700516   -0.0356586      1.30445     0.888349    0.0868788      5.66344
    0.686185   -0.0370519       1.3064     0.890544    0.0852755      5.67524
     0.67155   -0.0384446      1.30844     0.892736    0.0835919       5.6876
    0.656669   -0.0398288      1.31055      0.89491    0.0818202      5.70045
    0.641525   -0.0412038      1.31273     0.897051    0.0799509      5.71369
    0.626172   -0.0425619      1.31492     0.899151    0.0779762      5.72713
    0.610605   -0.0439011      1.31712     0.901207    0.0758883      5.74057
    0.594873   -0.0452147      1.31927     0.903218    0.0736799      5.75382
    0.578982   -0.0464992      1.32136     0.905189     0.071342       5.7667
    0.562971   -0.0477487      1.32335     0.907126    0.0688654      5.77905
    0.546862   -0.0489589      1.32522      0.90903    0.0662434      5.79074
    0.530684   -0.0501245      1.32696     0.910902    0.0634674      5.80166
    0.514467   -0.0512406      1.32855      0.91274    0.0605298      5.81175
    0.498239   -0.0523027      1.32999     0.914537    0.0574222      5.82101
    0.482028    -0.053306      1.33129      0.91628     0.054136      5.82948
    0.465866    -0.054246      1.33246     0.917956    0.0506642      5.83725
