# x y rho rho*u rho*v rho*E
           1            0      1.41268     0.723334  0.000129355      6.39806
    0.993927 -0.000863588      1.40705     0.734718    0.0931225       6.3384
    0.987105  -0.00181476      1.39635      0.75604     0.104093      6.25297
    0.979548  -0.00286486      1.38417     0.774509     0.106815      6.16792
    0.971138  -0.00402188      1.37019     0.789981     0.108045      6.07633
    0.961878  -0.00528228      1.35717     0.802984     0.108803      5.99313
    0.956863  -0.00595893      1.34554     0.813913     0.109468      5.91991
    0.951587  -0.00666624      1.33495     0.823433     0.110081      5.85384
    0.946069  -0.00740135      1.32572     0.831799       0.1105      5.79661
    0.940285  -0.00816656       1.3177     0.839145     0.110711      5.74708
    0.934214  -0.00896414      1.31081     0.845619     0.110735      5.70468
    0.927833  -0.00979614      1.30507     0.851311     0.110597      5.66943
    0.921143   -0.0106617      1.30048     0.856265     0.110322      5.64128
    0.914163   -0.0115575      1.29698     0.860525     0.109921      5.61985
     0.90687   -0.0124855      1.29448     0.864161     0.109405      5.60449
    0.899241   -0.0134478      1.29282     0.867262     0.108788      5.59431
    0.891252   -0.0144463      1.29184     0.869944     0.108083      5.58822
    0.882937   -0.0154758      1.29138     0.872325     0.107298      5.58531
    0.874285   -0.0165362      1.29135     0.874494     0.106445        5.585
    0.865265   -0.0176304      1.29166     0.876512     0.105538      5.58675
    0.855861   -0.0187589      1.29223      0.87843     0.104583      5.59009
    0.846118   -0.0199151      1.29298     0.880289     0.103583      5.59459
    0.836006   -0.0211013      1.29386     0.882122     0.102542      5.59982
    0.825493   -0.0223196      1.29481      0.88396     0.101459      5.60547
    0.814632   -0.0235623      1.29578     0.885824     0.100337      5.61124
    0.803397    -0.024831      1.29672     0.887728    0.0991767      5.61688
    0.791767   -0.0261265      1.29762     0.889681    0.0979745      5.62231
    0.779797   -0.0274409      1.29848     0.891686     0.096729      5.62743
     0.76744   -0.0287775      1.29927     0.893736    0.0954397       5.6322
    0.754737   -0.0301304          1.3     0.895816    0.0940991       5.6366
    0.741687   -0.0314974      1.30066     0.897911    0.0927025      5.64061
    0.728282   -0.0328778      1.30126     0.899999    0.0912443      5.64422
    0.714568   -0.0342646      1.30179     0.902056    0.0897185       5.6475
    0.700516   -0.0356586      1.30228     0.904051      0.08812      5.65048
    0.686185   -0.0370519      1.30271      0.90596    0.0864406      5.65317
     0.67155   -0.0384446      1.30307     0.907763    0.0846728      5.65549
    0.656669   -0.0398288      1.30335      0.90945    0.0828091      5.65732
    0.641525   -0.0412038      1.30351     0.911018    0.0808414       5.6585
    0.626172   -0.0425619      1.30353     0.912471    0.0787637      5.65885
    0.610605   -0.0439011      1.30337     0.913823    0.0765697       5.6582
    0.594873   -0.0452147      1.30302     0.915089    0.0742551      5.65645
    0.578982   -0.0464992      1.30247     0.916283    0.0718134      5.65357
    0.562971   -0.0477487      1.30173      0.91742    0.0692374      5.64956
    0.546862   -0.0489589      1.30078     0.918516    0.0665219      5.64444
    0.530684   -0.0501245      1.29965     0.919588    0.0636604      5.63832
    0.514467   -0.0512406      1.29837      0.92065    0.0606474       5.6314
    0.498239   -0.0523027      1.29699     0.921717    0.0574766      5.62398
    0.482028    -0.053306      1.29557     0.922797    0.0541416      5.61648
    0.465866    -0.054246      1.29418     0.923896    0.0506369      5.60936
    0.449777   -0.0551189      1.29292     0.925019     0.046957      5.60317
    0.433796   -0.0559202      1.29186     0.926168     0.043096       5.5984
     0.41794    -0.056647      1.29107     0.927353    0.0390484      5.59547
    0.402249   -0.0572957      1.29059     0.928588    0.0348088       5.5947
    0.386733    -0.057864      1.29047     0.929886    0.0303711      5.59635
    0.371432   -0.0583491      1.29074     0.931258    0.0257299      5.60061
    0.356354   -0.0587497      1.29141     0.932702    0.0208788      5.60756
    0.341537   -0.0590641      1.29245     0.934209    0.0158125      5.61709
     0.32698   -0.0592918      1.29382     0.935761    0.0105224      5.62901
    0.312727   -0.0594321      1.29552     0.937315   0.00500277       5.6432
    0.298764   -0.0594854      1.29752     0.938801 -0.000747183      5.65967
    0.285143   -0.0594524      1.29986      0.94012  -0.00672966      5.67855
    0.271835    -0.059334      1.30254     0.941161    -0.012942      5.70002
    0.258889    -0.059132       1.3056     0.941816   -0.0193806      5.72424
    0.246293   -0.0588482      1.30904     0.941985   -0.0260335      5.75134
     0.23405   -0.0584845      1.31287     0.941588    -0.032888      5.78135
      0.2222   -0.0580448      1.31708     0.940564   -0.0399318       5.8142
    0.210706   -0.0575304       1.3216     0.938888    -0.047152      5.84951
    0.199585    -0.056945      1.32636      0.93657   -0.0545466      5.88679
    0.188865   -0.0562936      1.33129      0.93364   -0.0621066      5.92567
    0.178512   -0.0555776      1.33636     0.930137   -0.0698223      5.96579
    0.168525   -0.0548004      1.34155     0.926096   -0.0776977      6.00707
    0.158921   -0.0539673      1.34692     0.921535   -0.0857283      6.04989
    0.149706   -0.0530832       1.3526     0.916445   -0.0938946      6.09495
     0.14085   -0.0521491      1.35865     0.910815    -0.102186       6.1426
    0.132346   -0.0511686      1.36509     0.904651    -0.110607      6.19287
    0.124197   -0.0501463      1.37191     0.897972    -0.119161      6.24577
    0.116402   -0.0490862      1.37916     0.890788    -0.127849      6.30153
    0.108956   -0.0479923      1.38694     0.883088    -0.136647      6.36076
    0.101848   -0.0468679      1.39532     0.874847    -0.145493      6.42401
   0.0950675   -0.0457156      1.40423     0.865985    -0.154385      6.49095
   0.0886009   -0.0445376      1.41357     0.856457     -0.16338        6.561
   0.0824392   -0.0433365      1.42333     0.846305    -0.172489      6.63406
   0.0765768   -0.0421156       1.4335     0.835552    -0.181707      6.71004
   0.0710042   -0.0408772      1.44404     0.824203    -0.191042      6.78867
    0.065713   -0.0396238      1.45493     0.812266    -0.200514      6.86972
   0.0606934   -0.0383573      1.46622      0.79973    -0.210128      6.95344
   0.0559355   -0.0370794        1.478     0.786544    -0.219873       7.0405
   0.0514304   -0.0357918      1.49039     0.772615    -0.229721      7.13158
   0.0471676   -0.0344955      1.50341     0.757836    -0.239653      7.22695
   0.0431371   -0.0331911      1.51706      0.74211    -0.249657      7.32659
   0.0393302   -0.0318795      1.53134     0.725342    -0.259721       7.4305
   0.0357457   -0.0305641      1.54636     0.707401     -0.26978       7.5397
   0.0323759    -0.029246      1.56246     0.688094    -0.279696      7.65671
   0.0292132   -0.0279262      1.58001     0.667285    -0.289301      7.78426
   0.0262482   -0.0266046      1.59874     0.644799    -0.298547      7.92097
   0.0234718    -0.025281      1.61865     0.620584    -0.307403       8.0668
   0.0208714   -0.0239524      1.64009     0.594515    -0.315675      8.22439
   0.0184371    -0.022616      1.66309     0.566379    -0.323136       8.3941
   0.0161741    -0.021277      1.68741     0.536092    -0.329485      8.57446
   0.0140878   -0.0199426      1.71278     0.503731    -0.334434      8.76375
   0.0121676    -0.018611      1.73915     0.469342    -0.337688      8.96169
   0.0104019   -0.0172781      1.76635     0.432917     -0.33906      9.16696
  0.00877999   -0.0159379      1.79438     0.394465    -0.338282      9.37943
  0.00730267   -0.0145919      1.82343     0.353996    -0.335017      9.60017
  0.00598617   -0.0132604      1.85759     0.310529    -0.328003      9.85939
  0.00481744   -0.0119392      1.91304     0.257942    -0.312744      10.2786
  0.00288349  -0.00930328       1.9797     0.191955    -0.283693       10.786
   0.0015016   -0.0067572      2.03528     0.123186    -0.235338      11.2129
 0.000605628  -0.00431673      2.07407    0.0673606    -0.167499      11.5106
 0.000135675  -0.00205463       2.0907    0.0321835   -0.0879819      11.6365
           0            0      2.09338    0.0202123  -0.00290886      11.6546
 0.000135645   0.00205549      2.09008    0.0312949    0.0821043      11.6261
 0.000605419   0.00431899       2.0735    0.0656883     0.161585      11.4943
   0.0014974   0.00674994      2.03636     0.121521     0.230456      11.2024
  0.00289024   0.00931457      1.98091     0.191273     0.281519      10.7714
  0.00481145    0.0119343      1.91287     0.258724     0.313125      10.2514
   0.0059935    0.0132704      1.85692     0.312582     0.329544      9.82865
  0.00731802    0.0146072      1.82201     0.356707     0.337222      9.56465
  0.00877714    0.0159355      1.79291     0.397191     0.340764      9.34478
   0.0103903    0.0172701      1.76551     0.435692     0.341507       9.1386
   0.0121676    0.0186127      1.73848     0.472428     0.339994      8.93639
   0.0141048    0.0199552      1.71201     0.507105     0.336513       8.7396
   0.0161979     0.021292      1.68661     0.539476     0.331399      8.55191
   0.0184445    0.0226203      1.66268     0.569499     0.324929       8.3761
   0.0208599    0.0239467      1.64038     0.597357     0.317333      8.21286
   0.0234627    0.0252773      1.61957     0.623256     0.308834      8.06105
   0.0262532    0.0266079      1.60013     0.647362     0.299708      7.91946
   0.0292331    0.0279355      1.58192     0.669819     0.290195      7.78697
   0.0324057    0.0292585      1.56494     0.690832     0.280478      7.66357
   0.0357768    0.0305761      1.54917     0.710398     0.270607      7.54901
   0.0393533    0.0318878      1.53447      0.72862     0.260622      7.44219
