TITLE = "Wall boundary" 
VARIABLES = "X" "Y" 
Zone T = "Airfoil" 
DT=(DOUBLE DOUBLE)
1 0
0.993927 -0.000863588
0.993927 -0.000863588
0.987105 -0.00181476
0.987105 -0.00181476
0.979548 -0.00286486
0.979548 -0.00286486
0.971138 -0.00402188
0.971138 -0.00402188
0.961878 -0.00528228
0.961878 -0.00528228
0.956863 -0.00595893
0.956863 -0.00595893
0.951587 -0.00666624
0.951587 -0.00666624
0.946069 -0.00740135
0.946069 -0.00740135
0.940285 -0.00816656
0.940285 -0.00816656
0.934214 -0.00896414
0.934214 -0.00896414
0.927833 -0.00979614
0.927833 -0.00979614
0.921143 -0.0106617
0.921143 -0.0106617
0.914163 -0.0115575
0.914163 -0.0115575
0.90687 -0.0124855
0.90687 -0.0124855
0.899241 -0.0134478
0.899241 -0.0134478
0.891252 -0.0144463
0.891252 -0.0144463
0.882937 -0.0154758
0.882937 -0.0154758
0.874285 -0.0165362
0.874285 -0.0165362
0.865265 -0.0176304
0.865265 -0.0176304
0.855861 -0.0187589
0.855861 -0.0187589
0.846118 -0.0199151
0.846118 -0.0199151
0.836006 -0.0211013
0.836006 -0.0211013
0.825493 -0.0223196
0.825493 -0.0223196
0.814632 -0.0235623
0.814632 -0.0235623
0.803397 -0.024831
0.803397 -0.024831
0.791767 -0.0261265
0.791767 -0.0261265
0.779797 -0.0274409
0.779797 -0.0274409
0.76744 -0.0287775
0.76744 -0.0287775
0.754737 -0.0301304
0.754737 -0.0301304
0.741687 -0.0314974
0.741687 -0.0314974
0.728282 -0.0328778
0.728282 -0.0328778
0.714568 -0.0342646
0.714568 -0.0342646
0.700516 -0.0356586
0.700516 -0.0356586
0.686185 -0.0370519
0.686185 -0.0370519
0.67155 -0.0384446
0.67155 -0.0384446
0.656669 -0.0398288
0.656669 -0.0398288
0.641525 -0.0412038
0.641525 -0.0412038
0.626172 -0.0425619
0.626172 -0.0425619
0.610605 -0.0439011
0.610605 -0.0439011
0.594873 -0.0452147
0.594873 -0.0452147
0.578982 -0.0464992
0.578982 -0.0464992
0.562971 -0.0477487
0.562971 -0.0477487
0.546862 -0.0489589
0.546862 -0.0489589
0.530684 -0.0501245
0.530684 -0.0501245
0.514467 -0.0512406
0.514467 -0.0512406
0.498239 -0.0523027
0.498239 -0.0523027
0.482028 -0.053306
0.482028 -0.053306
0.465866 -0.054246
0.465866 -0.054246
0.449777 -0.0551189
0.449777 -0.0551189
0.433796 -0.0559202
0.433796 -0.0559202
0.41794 -0.056647
0.41794 -0.056647
0.402249 -0.0572957
0.402249 -0.0572957
0.386733 -0.057864
0.386733 -0.057864
0.371432 -0.0583491
0.371432 -0.0583491
0.356354 -0.0587497
0.356354 -0.0587497
0.341537 -0.0590641
0.341537 -0.0590641
0.32698 -0.0592918
0.32698 -0.0592918
0.312727 -0.0594321
0.312727 -0.0594321
0.298764 -0.0594854
0.298764 -0.0594854
0.285143 -0.0594524
0.285143 -0.0594524
0.271835 -0.059334
0.271835 -0.059334
0.258889 -0.059132
0.258889 -0.059132
0.246293 -0.0588482
0.246293 -0.0588482
0.23405 -0.0584845
0.23405 -0.0584845
0.2222 -0.0580448
0.2222 -0.0580448
0.210706 -0.0575304
0.210706 -0.0575304
0.199585 -0.056945
0.199585 -0.056945
0.188865 -0.0562936
0.188865 -0.0562936
0.178512 -0.0555776
0.178512 -0.0555776
0.168525 -0.0548004
0.168525 -0.0548004
0.158921 -0.0539673
0.158921 -0.0539673
0.149706 -0.0530832
0.149706 -0.0530832
0.14085 -0.0521491
0.14085 -0.0521491
0.132346 -0.0511686
0.132346 -0.0511686
0.124197 -0.0501463
0.124197 -0.0501463
0.116402 -0.0490862
0.116402 -0.0490862
0.108956 -0.0479923
0.108956 -0.0479923
0.101848 -0.0468679
0.101848 -0.0468679
0.0950675 -0.0457156
0.0950675 -0.0457156
0.0886009 -0.0445376
0.0886009 -0.0445376
0.0824392 -0.0433365
0.0824392 -0.0433365
0.0765768 -0.0421156
0.0765768 -0.0421156
0.0710042 -0.0408772
0.0710042 -0.0408772
0.065713 -0.0396238
0.065713 -0.0396238
0.0606934 -0.0383573
0.0606934 -0.0383573
0.0559355 -0.0370794
0.0559355 -0.0370794
0.0514304 -0.0357918
0.0514304 -0.0357918
0.0471676 -0.0344955
0.0471676 -0.0344955
0.0431371 -0.0331911
0.0431371 -0.0331911
0.0393302 -0.0318795
0.0393302 -0.0318795
0.0357457 -0.0305641
0.0357457 -0.0305641
0.0323759 -0.029246
0.0323759 -0.029246
0.0292132 -0.0279262
0.0292132 -0.0279262
0.0262482 -0.0266046
0.0262482 -0.0266046
0.0234718 -0.025281
0.0234718 -0.025281
0.0208714 -0.0239524
0.0208714 -0.0239524
0.0184371 -0.022616
0.0184371 -0.022616
0.0161741 -0.021277
0.0161741 -0.021277
0.0140878 -0.0199426
0.0140878 -0.0199426
0.0121676 -0.018611
0.0121676 -0.018611
0.0104019 -0.0172781
0.0104019 -0.0172781
0.00877999 -0.0159379
0.00877999 -0.0159379
0.00730267 -0.0145919
0.00730267 -0.0145919
0.00598617 -0.0132604
0.00598617 -0.0132604
0.00481744 -0.0119392
0.00481744 -0.0119392
0.00288349 -0.00930328
0.00288349 -0.00930328
0.0015016 -0.0067572
0.0015016 -0.0067572
0.000605628 -0.00431673
0.000605628 -0.00431673
0.000135675 -0.00205463
0.000135675 -0.00205463
0 0
0 0
0.000135645 0.00205549
0.000135645 0.00205549
0.000605419 0.00431899
0.000605419 0.00431899
0.0014974 0.00674994
0.0014974 0.00674994
0.00289024 0.00931457
0.00289024 0.00931457
0.00481145 0.0119343
0.00481145 0.0119343
0.0059935 0.0132704
0.0059935 0.0132704
0.00731802 0.0146072
0.00731802 0.0146072
0.00877714 0.0159355
0.00877714 0.0159355
0.0103903 0.0172701
0.0103903 0.0172701
0.0121676 0.0186127
0.0121676 0.0186127
0.0141048 0.0199552
0.0141048 0.0199552
0.0161979 0.021292
0.0161979 0.021292
0.0184445 0.0226203
0.0184445 0.0226203
0.0208599 0.0239467
0.0208599 0.0239467
0.0234627 0.0252773
0.0234627 0.0252773
0.0262532 0.0266079
0.0262532 0.0266079
0.0292331 0.0279355
0.0292331 0.0279355
0.0324057 0.0292585
0.0324057 0.0292585
0.0357768 0.0305761
0.0357768 0.0305761
0.0393533 0.0318878
0.0393533 0.0318878
0.0431441 0.0331935
0.0431441 0.0331935
0.0471643 0.0344945
0.0471643 0.0344945
0.0514234 0.0357899
0.0514234 0.0357899
0.0559282 0.0370777
0.0559282 0.0370777
0.0606869 0.0383559
0.0606869 0.0383559
0.065708 0.0396228
0.065708 0.0396228
0.0710005 0.0408766
0.0710005 0.0408766
0.0765737 0.0421151
0.0765737 0.0421151
0.0824372 0.0433362
0.0824372 0.0433362
0.0886012 0.0445377
0.0886012 0.0445377
0.0950763 0.0457172
0.0950763 0.0457172
0.101874 0.0468722
0.101874 0.0468722
0.108996 0.0479985
0.108996 0.0479985
0.116447 0.0490926
0.116447 0.0490926
0.124234 0.0501512
0.124234 0.0501512
0.132368 0.0511714
0.132368 0.0511714
0.140859 0.0521502
0.140859 0.0521502
0.149725 0.053085
0.149725 0.053085
0.158968 0.0539717
0.158968 0.0539717
0.168565 0.0548039
0.168565 0.0548039
0.178531 0.0555791
0.178531 0.0555791
0.188887 0.0562951
0.188887 0.0562951
0.199635 0.056948
0.199635 0.056948
0.210738 0.0575321
0.210738 0.0575321
0.222223 0.0580457
0.222223 0.0580457
0.234102 0.0584863
0.234102 0.0584863
0.246325 0.0588491
0.246325 0.0588491
0.258924 0.0591327
0.258924 0.0591327
0.271883 0.0593346
0.271883 0.0593346
